timeTick, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, otX1, otY1, otZ1, otRoll1, otPitch1, otYaw1, rlX1, rlY1, rlZ1, rlYaw1, dist1, PX1, PY1, PZ1, PYaw1, vx0, vy0, vz0, r0, vx1, vy1, vz1, r1
279365, 0.9274590611457825, -0.5934226512908936, 0.07294002175331116, 0.4634225629731586, -0.5795298386288721, -10.974239008708215, -1.5819661617279053, -0.7054881453514099, 0.0574847012758255, -0.6273646115791957, 0.5383284337728753, -7.8983822101738985, -2.410789728164673, -0.964055061340332, -0.3839026093482971, -0.970215380191803, 2.6210720539093018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
279375, 0.927460789680481, -0.5934166312217712, 0.07292267680168152, 0.4644491903148418, -0.5764198109082486, -10.97089911769545, -1.581970453262329, -0.7054936289787292, 0.0574597604572773, -0.619715059996464, 0.5393708804380708, -7.893814400269477, -2.4117753505706787, -0.9649868011474609, -0.3826883137226105, -0.9702390432357788, 2.637256145477295, 0.10499203950166702, 0.6139490008354187, 0.15524202585220337, 0.19182348251342773, 0.0737486258149147, 0.0795888602733612, -0.1384313702583313, -0.00010803855548147112, 0.008059995248913765, 0.02991589531302452, -0.029579823836684227, 0.0005073939682915807
279385, 0.9274423122406006, -0.5934023261070251, 0.07294297218322754, 0.44602451839395396, -0.5756280228293065, -10.980720903037895, -1.581978440284729, -0.7054992914199829, 0.05747353285551071, -0.6295133470323576, 0.5358285155435283, -7.89409826694881, -2.4122791290283203, -0.9657253623008728, -0.38159045577049255, -0.9702377915382385, 2.6277360916137695, 0.10501399636268616, 0.6140622496604919, 0.15527662634849548, 0.1918473094701767, 0.0737384557723999, 0.07959197461605072, -0.13662485778331757, -6.767563900211826e-05, 0.00804621446877718, 0.029923224821686745, -0.029154565185308456, 0.00047002366045489907
279395, 0.9274517297744751, -0.5934104919433594, 0.07290831953287125, 0.4611439392807358, -0.5776685607290233, -10.976805632861394, -1.581958293914795, -0.7054934501647949, 0.05747281387448311, -0.6248709865737988, 0.5398764617837912, -7.891605200619989, -2.418039560317993, -0.9719643592834473, -0.3767387568950653, -0.9706748127937317, 2.763871908187866, 0.10504040122032166, 0.6141614317893982, 0.15530525147914886, 0.19187110662460327, 0.07372784614562988, 0.07959450036287308, -0.13826477527618408, -4.3281765101710334e-05, 0.00803406536579132, 0.029932614415884018, 0.024216368794441223, 0.00034483143826946616
279405, 0.9274613261222839, -0.5934212803840637, 0.07293079048395157, 0.4592894067750688, -0.5750925887585652, -10.973150405963246, -1.5819661617279053, -0.7054980993270874, 0.057481132447719574, -0.6235197088053456, 0.5304390154631164, -7.891876471608761, -2.4183809757232666, -0.9714692831039429, -0.37562763690948486, -0.9706087112426758, 2.6239278316497803, 0.10509616881608963, 0.6139887571334839, 0.15529325604438782, 0.19189423322677612, 0.0737183541059494, 0.07959551364183426, -0.13648183643817902, -0.00016912394494283944, 0.008025351911783218, 0.029939573258161545, 0.023855727165937424, 4.4673881347989663e-05
279415, 0.9274510741233826, -0.593421995639801, 0.07292766124010086, 0.46841409640178266, -0.581605735363695, -10.98301236130416, -1.581966757774353, -0.7054996490478516, 0.05746208131313324, -0.6285268026461178, 0.5342319178336368, -7.8958768786888704, -2.418649196624756, -0.9712954163551331, -0.3753426969051361, -0.97055584192276, 2.624880075454712, 0.10514762252569199, 0.6139219999313354, 0.15528778731822968, 0.19191762804985046, 0.0737089291214943, 0.07959596812725067, -0.04665262624621391, -0.0003995742881670594, 0.008025351911783218, 0.029939573258161545, 0.023855727165937424, -2.1118505173944868e-05
279425, 0.9274544715881348, -0.5934272408485413, 0.07289652526378632, 0.4678219497135654, -0.582800242737818, -10.98049867660368, -1.581976056098938, -0.7055025696754456, 0.05745421350002289, -0.6268352618520722, 0.5315603938202003, -7.89666250410378, -2.4216949939727783, -0.9809461236000061, -0.36979538202285767, -0.9710711240768433, 2.740072250366211, 0.10519524663686752, 0.6139068603515625, 0.1552867293357849, 0.19194114208221436, 0.0737013965845108, 0.07959584891796112, -0.04613969102501869, -0.0005730235716328025, 0.007999091409146786, 0.029949255287647247, 0.03354710340499878, -0.0001825844228733331
279435, 0.9274656176567078, -0.593417763710022, 0.07292355597019196, 0.459830194167094, -0.5847705428988377, -10.96968341833687, -1.5819774866104126, -0.7054924964904785, 0.05748781934380531, -0.6258416442435221, 0.537366612283364, -7.901963694443602, -2.424593210220337, -0.9658458828926086, -0.3719864785671234, -0.9703108072280884, 2.5782320499420166, 0.10522273927927017, 0.6126610636711121, 0.15520277619361877, 0.19196200370788574, 0.07369416207075119, 0.07959682494401932, -0.052605777978897095, -0.0006853080703876913, 0.007986005395650864, 0.02995316870510578, 0.20277905464172363, -0.00025972042931243777
279445, 0.9274604320526123, -0.5934305787086487, 0.07291708886623383, 0.46560162609958977, -0.5824319153578585, -10.980469936240732, -1.5819778442382812, -0.7055084705352783, 0.057462405413389206, -0.6222607888324869, 0.5422763676859859, -7.891516793035986, -2.4197890758514404, -0.9723038673400879, -0.3728286921977997, -0.9705369472503662, 2.589656114578247, 0.10502853989601135, 0.6124846935272217, 0.15513774752616882, 0.19198551774024963, 0.07369054853916168, 0.07959479838609695, -0.05193095654249191, -0.0007298793061636388, 0.007975365966558456, 0.02995620295405388, 0.20039759576320648, -0.0002889499010052532
279455, 0.9274536967277527, -0.5934273600578308, 0.07291646301746368, 0.45483108214925794, -0.5728464441485244, -10.966751425067825, -1.5819770097732544, -0.7055081725120544, 0.05745399743318558, -0.627044900117403, 0.5306193617433621, -7.893482743405027, -2.421191453933716, -0.9757899045944214, -0.36963140964508057, -0.9706963896751404, 2.6705758571624756, 0.1050739735364914, 0.6124906539916992, 0.15513715147972107, 0.1920090913772583, 0.07368706166744232, 0.0795925185084343, -0.05468441918492317, -0.0006433125236071646, 0.00796368159353733, 0.029958931729197502, 0.10616140812635422, -0.00028135583852417767
279465, 0.9274609088897705, -0.5934284329414368, 0.07294448465108871, 0.4578003706287021, -0.5747509316631749, -10.97045407849086, -1.5819660425186157, -0.7054999470710754, 0.05745905637741089, -0.6289664374182979, 0.5362562119323684, -7.897858604031444, -2.4213955402374268, -0.9714115262031555, -0.3701934516429901, -0.9704304933547974, 2.5991761684417725, 0.10513292998075485, 0.6122516989707947, 0.15511098504066467, 0.1920320987701416, 0.07368693500757217, 0.07959263771772385, -0.05384478718042374, -0.0005000379751436412, 0.007953785359859467, 0.02996082603931427, 0.10488516837358475, -0.00026636835536919534
279475, 0.9274578094482422, -0.5934174656867981, 0.0729401558637619, 0.4637986699760862, -0.5797161069146739, -10.975356957760885, -1.5819743871688843, -0.7054905295372009, 0.057485431432724, -0.6232075941556038, 0.530991509620435, -7.899597290945059, -2.41921329498291, -0.970871090888977, -0.3701033592224121, -0.9703342318534851, 2.583944082260132, 0.10513821244239807, 0.6123719215393066, 0.15507657825946808, 0.19205604493618011, 0.07368756830692291, 0.07959070056676865, -0.1273273229598999, -0.00027420136029832065, 0.007943124510347843, 0.02996251732110977, 0.19190403819084167, -0.00029618709231726825
279485, 0.9274451732635498, -0.593422532081604, 0.0729159563779831, 0.4599721569798312, -0.5794617961594497, -10.980223799103644, -1.5819761753082275, -0.7055084705352783, 0.05748344957828522, -0.6283132998152987, 0.5315579576341065, -7.898673685728476, -2.4179723262786865, -0.9704457521438599, -0.36883214116096497, -0.9702549576759338, 2.5972719192504883, 0.10515109449625015, 0.6124846935272217, 0.15506038069725037, 0.19207993149757385, 0.07368825376033783, 0.07958798110485077, -0.12575313448905945, -0.00014385419490281492, 0.00793117843568325, 0.029964487999677658, 0.18955865502357483, -0.0004563602851703763
279495, 0.9274575114250183, -0.5934281945228577, 0.072931669652462, 0.45535267250054784, -0.5819532390067366, -10.9732470141622, -1.5819751024246216, -0.705499529838562, 0.05746357887983322, -0.627257296731969, 0.5309318831041026, -7.899290354831414, -2.4173619747161865, -0.9704717397689819, -0.36613550782203674, -0.9702126383781433, 2.6096479892730713, 0.1051613837480545, 0.6125986576080322, 0.1550324559211731, 0.19210384786128998, 0.07368777692317963, 0.07958409190177917, -0.12059172242879868, -6.0633723478531465e-05, 0.007918239571154118, 0.02996733970940113, 0.2756340801715851, -0.0005856369389221072
279505, 0.9274458885192871, -0.593409538269043, 0.07292761653661728, 0.4632080516125488, -0.5830298177381508, -10.983539731481493, -1.5819828510284424, -0.7055089473724365, 0.05748889595270157, -0.6241851704543029, 0.5345357574148863, -7.894332356036983, -2.4190783500671387, -0.9720543026924133, -0.36047467589378357, -0.9702771306037903, 2.657248020172119, 0.10517152398824692, 0.6127086281776428, 0.1549835205078125, 0.1921277642250061, 0.07368471473455429, 0.07958219200372696, -0.11902078986167908, -1.7363407096127048e-05, 0.007906210608780384, 0.029971906915307045, 0.27230826020240784, -0.0006940881139598787
279515, 0.9274422526359558, -0.5934351086616516, 0.07291653752326965, 0.45269466274034825, -0.575619341691123, -10.976238877272197, -1.5819891691207886, -0.7055150270462036, 0.05745711177587509, -0.621722894518176, 0.5259839385991256, -7.89956552992066, -2.419663906097412, -0.972898006439209, -0.3571878671646118, -0.9702928066253662, 2.63535213470459, 0.10518712550401688, 0.6127936244010925, 0.1548692137002945, 0.19215163588523865, 0.07368050515651703, 0.07957836985588074, -0.061003170907497406, -2.5336086764582433e-05, 0.007895191200077534, 0.029976554214954376, 0.2405817061662674, -0.0007970153819769621
279525, 0.9274601936340332, -0.5934208035469055, 0.07293131947517395, 0.467622373789556, -0.5880565764231278, -10.971617680592042, -1.5819729566574097, -0.7055094242095947, 0.05747811496257782, -0.6245807167446822, 0.5315864041285181, -7.894788009742055, -2.4199790954589844, -0.9734188318252563, -0.3544992506504059, -0.9702907204627991, 2.6296401023864746, 0.10520625114440918, 0.612860381603241, 0.15471860766410828, 0.19217549264431, 0.07367516309022903, 0.0795753002166748, -0.06031343713402748, -1.4293636922957376e-05, 0.007881423458456993, 0.029981208965182304, 0.23747316002845764, -0.0006394730880856514
