timeTick, roll, pitch, yaw, accX, accY, accZ, baro, m1, m2, m3, m4, thrust, vbat, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
367577, 1.3125841617584229, -1.741841435432434, -9.64260196685791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.3724167346954346, -1.5467709302902222, 0.1026194840669632, -0.22712872005904877, -2.463255564569579, -6.193767054926202
367587, 1.3130277395248413, -1.7423760890960693, -9.643789291381836, -0.02688317932188511, 0.023018311709165573, 1.0008642673492432, 0.14490509033203125, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.372436285018921, -1.5467673540115356, 0.10260513424873352, -0.22232453399564198, -2.429032788987712, -6.203818552487576
367597, 1.3124146461486816, -1.741950273513794, -9.643568992614746, -0.026822393760085106, 0.020998641848564148, 0.9999947547912598, 0.1831817626953125, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.372420072555542, -1.5467718839645386, 0.1026594415307045, -0.23442073088459656, -2.4868345027440455, -6.1944491891149465
367607, 1.3118364810943604, -1.7414606809616089, -9.6431884765625, -0.028577137738466263, 0.01896653324365616, 1.0030434131622314, 0.1831817626953125, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.372415781021118, -1.5467865467071533, 0.10259906947612762, -0.2223979293172055, -2.480905894175663, -6.205008569208304
367617, 1.3114873170852661, -1.7417622804641724, -9.6444091796875, -0.03029136173427105, 0.02243204601109028, 1.0008864402770996, 0.10662841796875, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.3724217414855957, -1.54678475856781, 0.10260041803121567, -0.2418987129405933, -2.4701621124540907, -6.20268390394816
367627, 1.3117954730987549, -1.7393484115600586, -9.644989013671875, -0.027309898287057877, 0.024792315438389778, 1.0015099048614502, 0.10662841796875, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.3724236488342285, -1.5467761754989624, 0.10260026901960373, -0.23808135115452986, -2.4603918483190057, -6.21088170524414
367637, 1.3122655153274536, -1.738174319267273, -9.646905899047852, -0.025461774319410324, 0.022680336609482765, 1.0000805854797363, 0.0956878662109375, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.373119592666626, -1.5467100143432617, 0.10138517618179321, -0.034405844606506246, -1.5525937514733243, -6.231196802405469
367647, 1.3102061748504639, -1.7383239269256592, -9.646699905395508, -0.025112347677350044, 0.023656444624066353, 0.9998146891593933, 0.0956878662109375, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.372443437576294, -1.5467936992645264, 0.10253579169511795, -0.20531902539583446, -2.437640442794475, -6.204860869984692
367657, 1.309690237045288, -1.737320065498352, -9.648104667663574, -0.027772126719355583, 0.022821955382823944, 1.001105546951294, 0.1230316162109375, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.3731162548065186, -1.5467197895050049, 0.1013786792755127, -0.04088265100956029, -1.5679586047010616, -6.231310258802913
367667, 1.3088243007659912, -1.7372678518295288, -9.649017333984375, -0.027906468138098717, 0.02194051444530487, 1.000389575958252, 0.1230316162109375, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.3724231719970703, -1.546792984008789, 0.10259266197681427, -0.21843162028587113, -2.4772400393426324, -6.194524212326663
367677, 1.3093372583389282, -1.7369234561920166, -9.649697303771973, -0.025651607662439346, 0.02144043520092964, 1.001569151878357, 0.16403961181640625, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.3724091053009033, -1.5467759370803833, 0.10263600945472717, -0.2489616094969932, -2.490213472383374, -6.196409236759106
367687, 1.3100405931472778, -1.7352930307388306, -9.651333808898926, -0.024766389280557632, 0.02128315530717373, 1.0001393556594849, 0.16403961181640625, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.372408390045166, -1.5467873811721802, 0.10268894582986832, -0.25551516614654113, -2.510193836511462, -6.191398869877549
367697, 1.3100805282592773, -1.736240267753601, -9.65161418914795, -0.02705550193786621, 0.020689571276307106, 0.9987847805023193, 0.1831817626953125, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.3724493980407715, -1.546791434288025, 0.10255375504493713, -0.210527868530327, -2.4514017501298326, -6.199943601375865
367707, 1.3105171918869019, -1.7374852895736694, -9.651552200317383, -0.02800147980451584, 0.022741561755537987, 0.9998052716255188, 0.1831817626953125, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.372432231903076, -1.5467449426651, 0.10263056308031082, -0.26402974196182855, -2.4793884109151634, -6.21492421283844
367717, 1.3109488487243652, -1.7382135391235352, -9.651399612426758, -0.0283186212182045, 0.0225211288779974, 1.002012014389038, 0.21051788330078125, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.3731157779693604, -1.546717882156372, 0.10140694677829742, -0.030011543872314375, -1.569314689339535, -6.2292006016191825
367727, 1.3113185167312622, -1.738132119178772, -9.652528762817383, -0.02681216038763523, 0.021451756358146667, 1.0021471977233887, 0.21051788330078125, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 7.9537200927734375, -2.3724613189697266, -1.5467607975006104, 0.10260704159736633, -0.2426303907458104, -2.429665644503274, -6.207835886331212
