timeTick, roll, pitch, yaw, accX, accY, accZ, baro, m1, m2, m3, m4, thrust, vbat, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
113471, -0.34411466121673584, -1.5861071348190308, 0.5471091270446777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18345510959625244, -0.352674275636673, 0.05841518193483353, 0.031557468210623676, -0.02132870863329117, 0.01957798881020017
113481, -0.3437280058860779, -1.5876202583312988, 0.5452031493186951, -0.026976462453603745, -0.005769412033259869, 1.0016107559204102, 0.8721542358398438, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.18339179456233978, -0.35271310806274414, 0.05845983326435089, 0.07384723885829599, -0.0668025459015098, 0.0071243846567688816
113491, -0.3445664644241333, -1.5863468647003174, 0.5435740351676941, -0.028396274894475937, -0.005729247350245714, 1.0003955364227295, 0.8721542358398438, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.1834479123353958, -0.35268113017082214, 0.05840674415230751, 0.03637982615956442, -0.020140406176835768, 0.0008721391855093449
113501, -0.3453134596347809, -1.5853919982910156, 0.5435276627540588, -0.025383057072758675, -0.004899117164313793, 0.9986470937728882, 0.91864013671875, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.1834370493888855, -0.3526814579963684, 0.058435529470443726, 0.031517365304350016, -0.017921204264041535, -0.0017918776206905347
113511, -0.3448188006877899, -1.5856350660324097, 0.5437431931495667, -0.02722650021314621, -0.005238664802163839, 0.9985036253929138, 0.91864013671875, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.1834683120250702, -0.3526994585990906, 0.05839420109987259, 0.024778010190823166, -0.006923054481575264, -0.0015690249622262553
113521, -0.34526321291923523, -1.5855213403701782, 0.5436801910400391, -0.028882870450615883, -0.004760015290230513, 0.9996947050094604, 0.9295730590820312, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.183426633477211, -0.35274016857147217, 0.05845050886273384, 0.06296318316149375, -0.06043705003705213, 0.0014651657074358309
113531, -0.3442194163799286, -1.5842597484588623, 0.5436589121818542, -0.030588138848543167, -0.004570248536765575, 0.999583899974823, 0.9295730590820312, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.18339353799819946, -0.3527316749095917, 0.058485791087150574, 0.0714524793341933, -0.06409231195442544, -0.0073149740616767
113541, -0.3435225188732147, -1.5828096866607666, 0.5434591770172119, -0.028453057631850243, -0.004107612185180187, 0.999936580657959, 0.8584823608398438, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.18345241248607635, -0.35269466042518616, 0.058435022830963135, 0.043187649445494705, -0.018963252801654562, -0.006876610927174206
113551, -0.3444110155105591, -1.5830445289611816, 0.5434547066688538, -0.02877676486968994, -0.005986939650028944, 0.9999019503593445, 0.8584823608398438, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.18326880037784576, -0.3527351915836334, 0.05855535715818405, 0.08186865593174598, 0.059329021297656936, -0.09812289222392191
113561, -0.34453848004341125, -1.5824460983276367, 0.5440608859062195, -0.027247929945588112, -0.0046990010887384415, 1.0005221366882324, 0.8065338134765625, 9362.0, 28835.0, 32767.0, 9362.0, 0.0, 8.33057975769043, -0.18328744173049927, -0.3527785837650299, 0.058537598699331284, 0.0495278424265204, 0.0706768078470077, -0.11028312892593335
