timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
22080, -3.6369645595550537, -1.265777826309204, -5.392940998077393, 0, 0, 0, 0, 0, 0, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22090, -3.3449113368988037, -1.0831918716430664, -6.148232460021973, -0.00384704302996397, -0.10822080075740814, 0.08890602737665176, -0.01991315558552742, 0.182317316532135, 0.15243121981620789, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22100, -3.0655410289764404, -1.5155799388885498, -4.812627792358398, -0.005851128604263067, -0.1081956997513771, 0.09678704291582108, -0.03508823364973068, 0.16381163895130157, 0.1924772560596466, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22110, -2.341665744781494, -1.8832508325576782, -3.89851713180542, -0.0026601464487612247, -0.1065816655755043, 0.10606299340724945, -0.0032152989879250526, 0.1398387849330902, 0.24160507321357727, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22120, -2.157304525375366, -1.633913278579712, -4.908094882965088, -0.0006553095299750566, -0.10679421573877335, 0.08648870885372162, 0.020554326474666595, 0.07096671313047409, 0.11335504800081253, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22130, -1.9975117444992065, -1.6553223133087158, -4.884696960449219, -0.002894326811656356, -0.10748549550771713, 0.08850729465484619, -0.0001426681556040421, 0.0580710731446743, 0.12075028568506241, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22140, -2.0137975215911865, -1.3266648054122925, -5.90236234664917, -0.002842723624780774, -0.10741265118122101, 0.0892319455742836, 0.0010495198657736182, 0.04546498879790306, 0.11950639635324478, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22150, -1.8567993640899658, -1.89985990524292, -4.328597068786621, -0.0055017550475895405, -0.10767214745283127, 0.09081009775400162, -0.02657955139875412, 0.051814012229442596, 0.12115006893873215, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22160, -1.629189133644104, -1.8498618602752686, -4.5056538581848145, -0.0019251303747296333, -0.10759171843528748, 0.0691564753651619, 0.018058309331536293, 0.029149876907467842, -0.023355118930339813, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22170, -2.078932523727417, -1.4682866334915161, -5.269137382507324, -0.0022586891427636147, -0.10819342732429504, 0.06861472129821777, 0.013147257268428802, 0.01134761143475771, -0.02230467088520527, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22180, -1.6653735637664795, -1.6547001600265503, -4.95221471786499, -0.004364072345197201, -0.10695689916610718, 0.07196947932243347, -0.014854224398732185, 0.05457746982574463, -0.005467350594699383, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22190, -1.2807843685150146, -1.66312575340271, -5.029521465301514, -0.003461230779066682, -0.10736626386642456, 0.07458856701850891, -0.001331424922682345, 0.01947982795536518, 0.01638455130159855, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22200, -1.3231631517410278, -1.6668004989624023, -5.010711669921875, -0.004200401250272989, -0.10996241122484207, 0.05305608734488487, -0.006059195380657911, -0.017668023705482483, -0.1130235493183136, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22210, -1.3544561862945557, -1.66667902469635, -5.00050163269043, -0.004204080440104008, -0.10996372252702713, 0.05225434526801109, -0.005203669890761375, -0.013701751828193665, -0.11153032630681992, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22220, -1.508000373840332, -1.530102252960205, -5.073460578918457, -0.004231560975313187, -0.10997951030731201, 0.05131671950221062, -0.00468832440674305, -0.010739193297922611, -0.11060398072004318, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22230, -1.490164041519165, -1.6297982931137085, -5.0038347244262695, -0.004772010259330273, -0.10955847054719925, 0.05089963600039482, -0.014754409901797771, 0.004102420527487993, -0.10740158706903458, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
22240, -1.3414688110351562, -2.163273811340332, -4.731123447418213, -0.004483938682824373, -0.10952126979827881, 0.050100188702344894, -0.0061920927837491035, 0.0026039201766252518, -0.1057034432888031, -1.0995408296585083, -2.0860092639923096, 0.49925732612609863, 12.297308037686818, -179.19483381063068, -96.19519388633421
