timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
428563, 30.02340316772461, -5.115719795227051, 2.192394495010376, 42.88017272949219, -29.406461715698242, 2.703211545944214, 0.15334756672382355, -0.7736999988555908, 0.27849406003952026, 1.8151527643203735, 2.1830573081970215, 2.712345838546753, -16.954439521411267, 16.290378047404005, 178.81718439937373
428573, 27.570100784301758, -5.050116539001465, 1.4666495323181152, 42.881744384765625, -29.414663314819336, 2.7046525478363037, 0.15698334574699402, -0.8201110363006592, 0.16748178005218506, 1.835766077041626, 2.2321369647979736, 2.633523464202881, -2.1449237832602956, 159.22825036540624, -83.77383319892449
428583, 27.091997146606445, -4.440889358520508, 2.6843531131744385, 42.88332748413086, -29.423311233520508, 2.705949306488037, 0.158350870013237, -0.8648049235343933, 0.18931880593299866, 1.8444297313690186, 2.1937153339385986, 2.731255531311035, 27.48811868775468, -1.7359378243181993, 6.1916079852824275
428593, 29.60112190246582, -5.179507255554199, 1.2473819255828857, 42.884925842285156, -29.432342529296875, 2.696455240249634, 0.15969711542129517, -0.9030799269676208, 0.0015375841176137328, 1.8476808071136475, 2.185941457748413, 2.735384702682495, 29.558505271853043, -1.9332754487358272, 4.131607884749284
428603, 28.15388298034668, -5.474246501922607, -0.1501186490058899, 42.88653564453125, -29.441761016845703, 2.687910556793213, 0.1610136777162552, -0.9419097304344177, -0.029999680817127228, 1.8491913080215454, 2.169325351715088, 2.741292715072632, 24.340215776038228, -0.8324234498568046, 6.483179803855148
428613, 27.74538803100586, -4.296320915222168, 1.8225435018539429, 42.88817596435547, -29.45159912109375, 2.6982638835906982, 0.16408896446228027, -0.9837638139724731, 0.2634100615978241, 1.8519569635391235, 2.168430805206299, 2.7472565174102783, 28.690081726869483, -0.3960639220495352, 6.084760891811384
428623, 29.60406494140625, -5.661656379699707, 0.10865570604801178, 42.88982009887695, -29.461811065673828, 2.7075817584991455, 0.16422927379608154, -1.0211336612701416, 0.3180389106273651, 1.8549034595489502, 2.1531195640563965, 2.7535624504089355, 27.454531933203036, -1.8556124377944911, 3.9312919854764075
428633, 28.395462036132812, -5.404901027679443, 0.9993136525154114, 42.8914909362793, -29.4724178314209, 2.717061996459961, 0.16709133982658386, -1.0607699155807495, 0.27272143959999084, 1.8535432815551758, 2.138174295425415, 2.7564406394958496, 23.301070049874458, -2.631950131981881, 4.021179110362125
428643, 26.235750198364258, -5.0492730140686035, 1.317386507987976, 42.89317321777344, -29.48345184326172, 2.7255940437316895, 0.16830724477767944, -1.1034356355667114, 0.24370719492435455, 1.8546209335327148, 2.164884090423584, 2.6811904907226562, 0.9692408100290705, 160.46565814926166, -87.76949321948639
428653, 27.374570846557617, -5.31158971786499, 1.2519526481628418, 42.8948860168457, -29.49483299255371, 2.7237026691436768, 0.17127880454063416, -1.1381069421768188, 0.18648670613765717, 1.8596835136413574, 2.128218650817871, 2.7690513134002686, 27.984785820866545, -1.6207918840053708, 4.91176794101642
